type,value,description
Domain,etekno.xyz,Return-Path domain
IP,209.85.167.226,Received-from header hop
IP,2.16.107.24,IP flagged in PDF ANY.RUN report
URL,https://t.co/yuxfZm8KPg?amp=1,Initial shortened URL from UPDATE ACCOUNT NOW button
URL,https://bit.ly/2TiRpyj,First observed redirect destination
URL,https://www.linkedin.com/slink?code=enmd-V3,Final observed URL after redirect chain
SHA256,cc6f1a04b10bcb168aeec8d870b97bd7c20fc161e8310b5bce1af8ed420e2c24,SHA-256 of Payment-updateid.pdf
File,Payment-updateid.pdf,Suspicious PDF attachment
File,CBJ200620039539.xlsx,Excel attachment classified as malicious activity
SHA256,5f94a66e0ce78d17afc2dd27fc17b44b3ffc13ac5f42d3ad6a5dcfb36715f3eb,SHA-256 of Excel attachment
Domain,biz9holdings.com,Malicious domain observed in Excel sandbox
IP,204.11.56.48,IP associated with biz9holdings.com in sandbox report
Domain,findresults.site,Additional malicious domain observed in Excel sandbox
CVE,CVE-2017-11882,Exploitation target identified for Excel attachment
